attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10,attr_11,attr_12,class
22,7560.0,0,0,0,0,0,0,0,0,0,0,0
8,9398.0,0,0,1,0,0,0,0,0,0,0,1
18,7777.0,0,0,0,0,0,0,0,1,0,0,0
10,8870.0,0,0,0,0,0,1,0,0,0,0,1
22,9008.0,0,0,1,0,0,0,0,0,0,0,1
15,7873.0,1,0,0,0,0,0,0,0,0,0,0
21,7570.0,0,0,0,0,0,0,1,0,0,0,0
8,10442.0,0,0,0,0,0,0,0,0,0,1,1
12,8975.0,0,0,0,0,0,0,1,0,0,0,1
23,9159.0,0,0,0,0,1,0,0,0,0,0,1
3,10128.0,0,0,0,0,0,0,0,0,0,1,1
2,7527.0,0,0,0,0,0,0,0,0,0,0,1
23,7939.0,0,0,1,0,0,0,0,0,0,0,1
3,9774.0,0,1,0,0,0,0,0,0,0,0,1
2,8528.0,0,0,1,0,0,0,0,0,0,0,1
22,7787.0,0,0,0,0,0,1,0,0,0,0,1
12,7967.0,0,1,0,0,0,0,0,0,0,0,0
22,10229.0,0,0,0,0,0,0,0,0,0,1,1
15,10502.0,0,0,0,0,0,0,0,0,0,1,1
9,8335.0,0,0,1,0,0,0,0,0,0,0,1
6,10052.0,1,0,0,0,0,0,0,0,0,0,1
1,9592.0,0,0,1,0,0,0,0,0,0,0,1
22,9062.0,0,0,0,0,0,0,0,0,1,0,1
26,8902.0,0,0,1,0,0,0,0,0,0,0,1
13,9138.0,0,0,0,0,0,0,0,0,0,0,1
9,9609.0,0,1,0,0,0,0,0,0,0,0,1
11,8144.0,0,0,0,1,0,0,0,0,0,0,1
20,9135.0,0,0,0,0,1,0,0,0,0,0,1
3,9051.0,0,0,0,0,0,0,1,0,0,0,1
28,9293.0,0,0,0,0,1,0,0,0,0,0,1
21,8411.0,1,0,0,0,0,0,0,0,0,0,1
7,9328.0,0,0,0,0,0,0,0,1,0,0,1
17,9480.0,0,0,0,0,1,0,0,0,0,0,1
1,7701.0,0,0,0,0,0,0,0,0,0,0,0
28,9814.0,0,1,0,0,0,0,0,0,0,0,1
2,9927.0,1,0,0,0,0,0,0,0,0,0,1
25,9180.0,0,0,0,0,0,0,1,0,0,0,1
17,8702.0,0,0,0,0,0,1,0,0,0,0,1
19,10605.0,0,0,1,0,0,0,0,0,0,0,1
19,7868.0,0,1,0,0,0,0,0,0,0,0,0
17,9339.0,0,0,0,0,0,0,0,0,0,0,1
17,9835.0,0,1,0,0,0,0,0,0,0,0,1
22,9335.0,0,0,0,1,0,0,0,0,0,0,1
1,9321.0,0,1,0,0,0,0,0,0,0,0,1
2,9303.0,0,0,0,0,0,0,0,1,0,0,1
9,10142.0,0,0,0,0,0,0,0,0,0,1,1
11,9686.0,0,0,1,0,0,0,0,0,0,0,1
9,9218.0,0,0,0,0,1,0,0,0,0,0,1
30,9184.0,0,0,0,0,0,0,0,0,0,0,1
23,9425.0,1,0,0,0,0,0,0,0,0,0,1
28,8415.0,1,0,0,0,0,0,0,0,0,0,1
18,8167.0,0,0,0,1,0,0,0,0,0,0,1
19,10015.0,0,0,0,0,0,0,0,0,1,0,1
3,9114.0,0,0,0,0,0,1,0,0,0,0,1
16,9531.0,1,0,0,0,0,0,0,0,0,0,1
9,8102.0,0,0,0,0,0,0,0,0,1,0,0
8,8377.0,1,0,0,0,0,0,0,0,0,0,0
8,7611.0,0,0,0,0,0,0,0,0,0,0,0
12,7950.0,0,0,0,1,0,0,0,0,0,0,0
1,8069.0,0,0,0,0,0,1,0,0,0,0,1
31,8028.0,0,0,1,0,0,0,0,0,0,0,0
7,10206.0,0,0,0,0,0,0,0,0,0,1,1
20,9592.0,0,1,0,0,0,0,0,0,0,0,1
21,9950.0,0,1,0,0,0,0,0,0,0,0,1
12,9259.0,0,0,0,0,0,0,0,0,0,0,1
5,9101.0,0,0,0,0,0,0,1,0,0,0,1
11,10162.0,0,0,0,0,0,0,0,0,0,1,1
7,9328.0,0,0,0,1,0,0,0,0,0,0,1
30,9457.0,1,0,0,0,0,0,0,0,0,0,1
20,8064.0,0,0,0,0,0,0,1,0,0,0,1
4,8859.0,0,0,0,0,0,0,0,0,0,0,1
24,7964.0,0,0,1,0,0,0,0,0,0,0,0
24,10152.0,0,0,0,0,0,0,0,0,0,1,1
15,7771.0,0,0,0,0,0,0,0,0,0,0,0
4,9767.0,0,0,1,0,0,0,0,0,0,0,1
15,9951.0,0,0,1,0,0,0,0,0,0,0,1
7,9769.0,0,1,0,0,0,0,0,0,0,0,1
7,8084.0,0,0,0,0,0,0,0,0,0,0,1
6,7718.0,0,0,0,0,0,0,1,0,0,0,1
24,9576.0,1,0,0,0,0,0,0,0,0,0,1
11,7581.0,0,0,0,0,0,0,0,1,0,0,0
21,9252.0,0,0,0,1,0,0,0,0,0,0,1
22,9307.0,0,0,0,0,1,0,0,0,0,0,1
20,10386.0,0,0,0,0,0,0,0,0,1,0,1
25,10349.0,0,0,0,0,0,0,0,0,1,0,1
19,9226.0,0,0,0,0,0,0,0,0,0,0,1
30,9630.0,0,0,0,0,0,0,1,0,0,0,1
14,10014.0,0,1,0,0,0,0,0,0,0,0,1
18,9044.0,0,0,0,0,0,0,1,0,0,0,1
31,9333.0,1,0,0,0,0,0,0,0,0,0,1
25,7874.0,0,0,0,0,1,0,0,0,0,0,1
4,8065.0,0,0,0,1,0,0,0,0,0,0,1
1,9159.0,0,0,0,1,0,0,0,0,0,0,1
5,7804.0,0,0,0,1,0,0,0,0,0,0,0
17,8233.0,0,0,0,0,0,0,0,1,0,0,1
3,9431.0,0,0,0,0,1,0,0,0,0,0,1
24,9416.0,0,0,0,0,0,0,0,0,0,0,1
13,9606.0,0,1,0,0,0,0,0,0,0,0,1
20,9998.0,0,0,1,0,0,0,0,0,0,0,1
2,9245.0,0,1,0,0,0,0,0,0,0,0,1
12,8606.0,0,0,0,0,0,1,0,0,0,0,1
17,9238.0,0,0,0,1,0,0,0,0,0,0,1
19,7729.0,0,0,0,0,1,0,0,0,0,0,0
19,8904.0,0,0,0,0,0,0,0,0,0,1,1
6,9294.0,0,0,0,0,1,0,0,0,0,0,1
6,9402.0,0,0,1,0,0,0,0,0,0,0,1
10,8093.0,0,0,1,0,0,0,0,0,0,0,0
8,8987.0,0,0,0,0,0,0,1,0,0,0,1
16,9200.0,0,0,0,0,0,0,1,0,0,0,1
25,7846.0,0,0,1,0,0,0,0,0,0,0,1
15,8859.0,0,0,0,0,0,0,0,0,1,0,1
20,9021.0,0,0,0,1,0,0,0,0,0,0,1
10,9652.0,0,1,0,0,0,0,0,0,0,0,1
30,8902.0,0,0,0,0,1,0,0,0,0,0,1
6,8442.0,0,0,0,0,0,0,0,0,0,1,0
9,9362.0,0,0,0,0,0,0,0,1,0,0,1
31,9849.0,0,0,0,0,0,0,0,0,0,1,1
29,9195.0,0,0,0,0,1,0,0,0,0,0,1
10,9583.0,0,0,0,0,1,0,0,0,0,0,1
25,9328.0,1,0,0,0,0,0,0,0,0,0,1
6,10184.0,0,0,0,0,0,0,0,0,1,0,1
23,9268.0,0,0,0,1,0,0,0,0,0,0,1
8,9139.0,0,0,0,1,0,0,0,0,0,0,1
25,9090.0,0,0,0,0,0,0,0,0,0,0,1
15,9536.0,0,1,0,0,0,0,0,0,0,0,1
12,8951.0,0,0,0,0,0,0,0,0,0,1,1
27,9100.0,0,0,0,0,1,0,0,0,0,0,1
5,9949.0,1,0,0,0,0,0,0,0,0,0,1
30,8486.0,0,0,0,0,0,0,0,0,1,0,0
10,9877.0,0,0,0,0,0,0,0,0,1,0,1
12,10063.0,0,0,1,0,0,0,0,0,0,0,1
20,8477.0,0,0,0,0,0,0,0,0,0,1,0
28,9047.0,0,0,0,0,0,1,0,0,0,0,1
27,8453.0,0,0,0,0,0,0,0,0,0,1,0
5,9881.0,0,0,1,0,0,0,0,0,0,0,1
2,9218.0,0,0,0,1,0,0,0,0,0,0,1
19,9543.0,0,0,0,0,0,0,0,1,0,0,1
6,9507.0,0,1,0,0,0,0,0,0,0,0,1
5,7791.0,0,0,0,0,1,0,0,0,0,0,0
29,8155.0,1,0,0,0,0,0,0,0,0,0,0
14,7382.0,0,0,0,0,0,0,1,0,0,0,0
9,9765.0,1,0,0,0,0,0,0,0,0,0,1
5,8852.0,0,0,0,0,0,1,0,0,0,0,1
8,9501.0,0,1,0,0,0,0,0,0,0,0,1
21,9967.0,0,0,0,0,0,0,0,0,0,1,1
1,9435.0,0,0,0,0,0,0,0,1,0,0,1
11,9210.0,0,0,0,0,0,0,0,0,0,0,1
29,10401.0,0,0,1,0,0,0,0,0,0,0,1
27,10192.0,0,0,0,0,0,0,0,0,1,0,1
14,8299.0,0,0,0,0,0,0,0,0,0,0,1
6,9225.0,0,0,0,1,0,0,0,0,0,0,1
25,8313.0,0,0,0,1,0,0,0,0,0,0,1
10,9273.0,0,0,0,0,0,0,1,0,0,0,1
25,10173.0,0,0,0,0,0,0,0,0,0,1,1
17,8913.0,0,0,0,0,0,0,1,0,0,0,1
9,7445.0,0,0,0,0,0,1,0,0,0,0,0
8,9212.0,0,0,0,0,1,0,0,0,0,0,1
20,9305.0,0,0,0,0,0,0,0,0,0,0,1
31,9152.0,0,0,0,0,0,0,0,0,0,0,1
26,9514.0,0,0,0,0,0,0,1,0,0,0,1
5,8738.0,0,0,0,0,0,0,0,0,0,1,1
21,9266.0,0,0,0,0,0,0,0,1,0,0,1
17,8172.0,0,0,1,0,0,0,0,0,0,0,0
13,8532.0,0,0,0,0,0,0,0,0,0,1,0
24,9196.0,0,0,0,0,0,0,1,0,0,0,1
24,9037.0,0,1,0,0,0,0,0,0,0,0,1
6,9208.0,0,0,0,0,0,0,0,0,0,0,1
11,9852.0,0,0,0,0,0,0,0,0,1,0,1
24,8122.0,0,0,0,0,0,0,0,1,0,0,1
8,8773.0,0,0,0,0,0,0,0,0,1,0,1
23,9210.0,0,0,0,0,0,0,1,0,0,0,1
17,10377.0,0,0,0,0,0,0,0,0,0,1,1
4,8008.0,0,0,0,0,1,0,0,0,0,0,1
18,10355.0,0,0,0,0,0,0,0,0,0,1,1
5,9675.0,0,0,0,0,0,0,0,0,1,0,1
9,9172.0,0,0,0,0,0,0,0,0,0,0,1
26,8068.0,0,1,0,0,0,0,0,0,0,0,0
10,9527.0,0,0,0,1,0,0,0,0,0,0,1
2,9824.0,0,0,0,0,0,0,0,0,0,1,1
4,8246.0,0,1,0,0,0,0,0,0,0,0,1
1,8900.0,0,0,0,0,0,0,1,0,0,0,1
15,9285.0,0,0,0,1,0,0,0,0,0,0,1
22,9405.0,0,0,0,0,0,0,0,1,0,0,1
3,9167.0,0,0,0,1,0,0,0,0,0,0,1
9,9307.0,0,0,0,0,0,0,1,0,0,0,1
16,9458.0,0,0,0,0,0,0,0,0,0,0,1
18,10196.0,0,0,1,0,0,0,0,0,0,0,1
13,9984.0,0,0,0,0,0,0,0,0,1,0,1
7,8605.0,1,0,0,0,0,0,0,0,0,0,1
9,9247.0,0,0,0,1,0,0,0,0,0,0,1
14,9012.0,0,0,0,0,0,1,0,0,0,0,1
16,9568.0,0,1,0,0,0,0,0,0,0,0,1
21,10332.0,0,0,0,0,0,0,0,0,1,0,1
18,9120.0,0,0,0,0,0,0,0,0,0,0,1
28,9701.0,0,0,0,0,0,0,0,1,0,0,1
12,9201.0,0,0,0,0,0,0,0,1,0,0,1
24,9017.0,0,0,0,0,0,1,0,0,0,0,1
6,8969.0,0,0,0,0,0,1,0,0,0,0,1
7,9077.0,0,0,0,0,0,1,0,0,0,0,1
21,9398.0,0,0,1,0,0,0,0,0,0,0,1
14,10438.0,0,0,0,0,0,0,0,0,1,0,1
25,8275.0,0,1,0,0,0,0,0,0,0,0,1
20,9625.0,1,0,0,0,0,0,0,0,0,0,1
16,9350.0,0,0,0,0,0,0,0,1,0,0,1
10,10284.0,0,0,0,0,0,0,0,0,0,1,1
7,7388.0,0,0,0,0,0,0,1,0,0,0,0
12,9705.0,0,0,0,0,0,0,0,0,1,0,1
4,9439.0,0,0,0,0,0,1,0,0,0,0,1
19,8720.0,0,0,0,0,0,1,0,0,0,0,1
13,8966.0,0,0,0,1,0,0,0,0,0,0,1
26,9501.0,1,0,0,0,0,0,0,0,0,0,1
28,7781.0,0,0,0,0,0,0,1,0,0,0,0
5,9043.0,0,0,0,0,0,0,0,0,0,0,1
27,8983.0,0,0,0,0,0,0,0,0,0,0,1
29,8677.0,0,0,0,0,0,0,0,0,1,0,1
19,9502.0,1,0,0,0,0,0,0,0,0,0,1
22,9548.0,0,1,0,0,0,0,0,0,0,0,1
13,9755.0,1,0,0,0,0,0,0,0,0,0,1
13,7762.0,0,0,0,0,0,0,1,0,0,0,1
21,9663.0,0,0,0,0,1,0,0,0,0,0,1
16,8507.0,0,0,1,0,0,0,0,0,0,0,1
22,7936.0,1,0,0,0,0,0,0,0,0,0,0
26,10091.0,0,0,0,0,0,0,0,0,1,0,1
26,7881.0,0,0,0,1,0,0,0,0,0,0,0
23,9252.0,0,0,0,0,0,0,0,0,0,0,1
16,10053.0,0,0,0,0,0,0,0,0,0,1,1
4,7399.0,0,0,0,0,0,0,0,1,0,0,0
14,9525.0,0,0,0,0,1,0,0,0,0,0,1
31,9890.0,0,0,0,0,0,0,0,0,1,0,1
18,7965.0,0,0,0,0,1,0,0,0,0,0,1
19,9000.0,0,0,0,0,0,0,1,0,0,0,1
16,9103.0,0,0,0,1,0,0,0,0,0,0,1
14,9216.0,0,0,0,0,0,0,0,1,0,0,1
27,9857.0,0,0,0,0,0,0,0,1,0,0,1
13,9509.0,0,0,1,0,0,0,0,0,0,0,1
24,9552.0,0,0,0,1,0,0,0,0,0,0,1
26,9019.0,0,0,0,0,0,1,0,0,0,0,1
13,9022.0,0,0,0,0,1,0,0,0,0,0,1
13,9264.0,0,0,0,0,0,0,0,1,0,0,1
1,8686.0,1,0,0,0,0,0,0,0,0,0,0
30,10080.0,0,0,0,0,0,0,0,1,0,0,1
10,10351.0,1,0,0,0,0,0,0,0,0,0,1
26,9348.0,0,0,0,0,0,0,0,1,0,0,1
12,9824.0,1,0,0,0,0,0,0,0,0,0,1
3,8825.0,0,0,0,0,0,0,0,0,0,0,1
29,7527.0,0,0,0,0,0,0,0,0,0,0,0
30,8474.0,0,0,1,0,0,0,0,0,0,0,1
29,9438.0,0,1,0,0,0,0,0,0,0,0,1
10,9089.0,0,0,0,0,0,0,0,0,0,0,1
23,9900.0,0,0,0,0,0,0,0,0,0,1,1
11,8144.0,0,0,0,0,1,0,0,0,0,0,1
31,9600.0,0,0,0,0,0,0,1,0,0,0,1
14,9859.0,0,0,0,1,0,0,0,0,0,0,1
3,7971.0,0,0,0,0,0,0,0,1,0,0,1
16,8416.0,0,0,0,0,0,0,0,0,1,0,0
8,7890.0,0,0,0,0,0,1,0,0,0,0,1
28,9998.0,0,0,0,0,0,0,0,0,0,1,1
13,8724.0,0,0,0,0,0,1,0,0,0,0,1
4,8433.0,0,0,0,0,0,0,0,0,1,0,1
27,9262.0,0,0,0,1,0,0,0,0,0,0,1
4,10051.0,0,0,0,0,0,0,0,0,0,1,1
29,7780.0,0,0,0,0,0,0,1,0,0,0,1
15,9175.0,0,0,0,0,0,0,0,1,0,0,1
23,7304.0,0,0,0,0,0,1,0,0,0,0,0
14,8554.0,1,0,0,0,0,0,0,0,0,0,1
11,8352.0,0,1,0,0,0,0,0,0,0,0,1
14,9524.0,0,0,1,0,0,0,0,0,0,0,1
2,7691.0,0,0,0,0,0,1,0,0,0,0,0
25,9077.0,0,0,0,0,0,1,0,0,0,0,1
12,7870.0,0,0,0,0,1,0,0,0,0,0,0
27,8839.0,0,0,0,0,0,1,0,0,0,0,1
27,9825.0,0,1,0,0,0,0,0,0,0,0,1
2,9422.0,0,0,0,0,0,0,1,0,0,0,1
3,8196.0,0,0,1,0,0,0,0,0,0,0,0
29,9630.0,0,0,0,0,0,0,0,1,0,0,1
17,10026.0,0,0,0,0,0,0,0,0,1,0,1
16,7193.0,0,0,0,0,0,1,0,0,0,0,0
21,7954.0,0,0,0,0,0,0,0,0,0,0,1
26,8782.0,0,0,0,0,0,0,0,0,0,1,1
1,10145.0,0,0,0,0,0,0,0,0,0,1,1
3,9284.0,0,0,0,0,0,0,0,0,1,0,1
2,7976.0,0,0,0,0,0,0,0,0,1,0,0
26,7589.0,0,0,0,0,1,0,0,0,0,0,0
1,9132.0,0,0,0,0,1,0,0,0,0,0,1
28,9705.0,0,0,0,1,0,0,0,0,0,0,1
6,9606.0,0,0,0,0,0,0,0,1,0,0,1
27,9907.0,0,0,1,0,0,0,0,0,0,0,1
7,9480.0,0,0,1,0,0,0,0,0,0,0,1
18,10357.0,0,0,0,0,0,0,0,0,1,0,1
20,9672.0,0,0,0,0,0,0,0,1,0,0,1
2,9304.0,0,0,0,0,1,0,0,0,0,0,1
25,8091.0,0,0,0,0,0,0,0,1,0,0,0
18,9205.0,0,0,0,0,0,1,0,0,0,0,1
23,7915.0,0,1,0,0,0,0,0,0,0,0,1
1,8209.0,0,0,0,0,0,0,0,0,1,0,1
3,10378.0,1,0,0,0,0,0,0,0,0,0,1
23,8563.0,0,0,0,0,0,0,0,0,1,0,0
7,9573.0,0,0,0,0,1,0,0,0,0,0,1
18,9388.0,1,0,0,0,0,0,0,0,0,0,1
14,10127.0,0,0,0,0,0,0,0,0,0,1,1
4,9928.0,1,0,0,0,0,0,0,0,0,0,1
26,9387.0,0,0,0,0,0,0,0,0,0,0,1
30,9396.0,0,1,0,0,0,0,0,0,0,0,1
7,10241.0,0,0,0,0,0,0,0,0,1,0,1
28,7946.0,0,0,0,0,0,0,0,0,0,0,1
21,8892.0,0,0,0,0,0,1,0,0,0,0,1
10,8040.0,0,0,0,0,0,0,0,1,0,0,1
29,10387.0,0,0,0,0,0,0,0,0,0,1,1
23,9598.0,0,0,0,0,0,0,0,1,0,0,1
15,9284.0,0,0,0,0,1,0,0,0,0,0,1
20,8582.0,0,0,0,0,0,1,0,0,0,0,1
4,8672.0,0,0,0,0,0,0,1,0,0,0,1
15,9195.0,0,0,0,0,0,0,1,0,0,0,1
28,10307.0,0,0,0,0,0,0,0,0,1,0,1
27,8005.0,0,0,0,0,0,0,1,0,0,0,1
30,7135.0,0,0,0,0,0,1,0,0,0,0,0
8,9075.0,0,0,0,0,0,0,0,1,0,0,1
11,9023.0,0,0,0,0,0,1,0,0,0,0,1
18,8432.0,0,1,0,0,0,0,0,0,0,0,1
31,9318.0,0,0,0,0,1,0,0,0,0,0,1
24,9157.0,0,0,0,0,1,0,0,0,0,0,1
27,9537.0,1,0,0,0,0,0,0,0,0,0,1
24,9960.0,0,0,0,0,0,0,0,0,1,0,1
15,7527.0,0,0,0,0,0,1,0,0,0,0,1
16,9327.0,0,0,0,0,1,0,0,0,0,0,1
29,7750.0,0,0,0,0,0,1,0,0,0,0,1
22,9089.0,0,0,0,0,0,0,1,0,0,0,1
19,7695.0,0,0,0,1,0,0,0,0,0,0,0
5,8011.0,0,1,0,0,0,0,0,0,0,0,0
17,9938.0,1,0,0,0,0,0,0,0,0,0,1
11,8903.0,0,0,0,0,0,0,1,0,0,0,1
30,10063.0,0,0,0,0,0,0,0,0,0,1,1
11,9873.0,1,0,0,0,0,0,0,0,0,0,1
5,9127.0,0,0,0,0,0,0,0,1,0,0,1
28,10177.0,0,0,1,0,0,0,0,0,0,0,1
