carbon,hardness,formability,strength,thick,width,len,bore,product-type_c,steel_a,steel_r,condition_a,condition_s,surface-quality_e,surface-quality_f,surface-quality_g,shape_coil,shape_sheet,class
0.0,0.0,2.0,0.0,3.2,610.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,1300.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.699,610.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,3.3,152.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.699,1320.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,1.0,1320.0,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.2,610.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.3,1320.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.2,610.0,150.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.6,1220.0,761.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,4.0,1320.0,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,3.2,1320.1,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.6,610.0,761.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.7,609.9,4170.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.75,1320.0,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.651,20.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,1.6,374.9,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,1.6,50.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.699,1320.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.6,610.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.6,610.0,301.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,3.0,0.0,0.601,610.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.699,1320.0,4880.0,0,1,1,0,0,1,0,0,1,0,1,0
0.0,0.0,2.0,0.0,0.7,609.9,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.599,1300.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,1320.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,374.9,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,3.2,1300.0,762.0,0,1,1,0,0,1,0,0,1,0,1,0
0.0,0.0,5.0,0.0,1.2,610.0,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,5.0,0.0,1.2,610.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.6,1220.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,1.6,500.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.4,20.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,3.5,610.0,0.0,600,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.799,1300.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,0.6,609.0,612.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.601,1320.0,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,2.0,0.0,3.2,1320.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.6,610.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,3.0,0.0,1.6,610.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.6,610.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,1320.1,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,610.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.999,610.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.699,610.0,761.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.7,1300.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.25,20.0,0.0,0,1,0,1,1,0,0,0,1,1,0,0
0.0,0.0,2.0,0.0,0.7,1300.0,4880.0,0,1,1,0,0,1,0,0,1,0,1,0
0.0,0.0,2.0,0.0,1.2,1220.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,3.5,610.0,0.0,600,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,0.4,58.0,0.0,0,1,0,1,1,0,0,0,1,1,0,0
0.0,0.0,2.0,0.0,3.2,609.9,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.699,520.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,3.0,0.0,0.6,610.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.6,1320.0,1000.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,610.0,4880.0,0,1,1,0,0,1,0,0,1,0,1,0
0.0,0.0,3.0,0.0,1.0,75.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,3.2,609.9,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,1320.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.699,609.9,0.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,3.2,610.0,1000.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.9,966.1,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,1.001,610.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,0.601,375.0,612.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,3.2,1320.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.999,1220.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,1.2,335.0,4170.0,0,1,1,0,0,1,0,0,1,0,1,0
0.0,0.0,5.0,0.0,1.2,1250.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,610.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.699,610.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.599,1300.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.6,1320.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.6,1220.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.6,520.0,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,1.6,1320.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,3.2,1320.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.4,20.0,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,2.0,0.0,0.3,610.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.6,610.0,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.699,520.0,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.699,610.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,3.2,610.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.3,1320.0,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.699,610.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.901,966.1,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.3,595.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.6,1220.0,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.699,609.9,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,3.0,0.0,1.0,610.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.6,1320.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,3.2,1320.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,3.2,1300.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.699,610.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,1220.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.699,610.0,400.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,3.0,0.0,0.6,610.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,1.599,1320.0,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.8,609.9,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.901,966.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,610.0,762.0,0,1,1,0,0,1,0,0,1,0,1,0
0.0,0.0,5.0,0.0,0.8,75.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,1320.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.6,20.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,1320.0,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,2.0,0.0,0.7,1220.0,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,3.2,610.0,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,3.0,0.0,0.601,610.0,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.321,610.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,0.601,1220.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,3.2,150.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,1220.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,3.0,0.0,1.2,610.0,4170.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.699,1320.0,761.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,3.2,150.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,3.2,1300.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.6,375.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,0.6,520.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.3,1320.0,4880.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,610.0,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,2.0,0.0,1.0,610.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.601,1320.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.301,610.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,1.201,50.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,0.75,610.0,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.7,374.9,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,150.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.7,610.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.699,1320.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,0.6,300.1,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,0.699,300.1,4880.0,0,1,1,0,0,1,0,1,0,0,1,0
0.0,0.0,2.0,0.0,4.0,610.0,0.0,600,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,1.599,610.0,762.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,3.0,0.0,1.6,1220.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.4,610.0,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,3.0,0.0,2.5,1320.0,0.0,0,1,1,0,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,0.7,1320.1,762.0,0,1,1,0,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,3.201,385.1,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,1.6,500.0,4880.0,0,1,0,1,0,1,1,0,0,0,1,0
0.0,0.0,2.0,0.0,4.0,500.0,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,2.0,0.0,0.4,609.9,0.0,0,1,1,0,0,1,0,0,1,1,0,0
0.0,0.0,2.0,0.0,3.2,50.0,0.0,0,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,2.0,0.0,4.0,1000.0,0.0,600,1,0,1,0,1,1,0,0,1,0,0
0.0,0.0,3.0,0.0,1.0,1320.0,762.0,0,1,1,0,0,1,0,1,0,0,1,0
