LOCATION,ERECTED,LENGTH,LANES,RIVER_a,RIVER_m,RIVER_o,PURPOSE_aqueduct,PURPOSE_highway,PURPOSE_rr,CLEAR-G_g,CLEAR-G_n,T-OR-D_deck,T-OR-D_through,MATERIAL_iron,MATERIAL_steel,MATERIAL_wood,SPAN_long,SPAN_medium,SPAN_short,REL-L_f,REL-L_s,REL-L_s-f,TYPE
25.0,1819.0,1037.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5
29.0,1837.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5
27.0,1840.0,990.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
28.0,1844.0,1000.0,1.0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,4
3.0,1846.0,1500.0,2.0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,4
29.0,1851.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
6.0,1856.0,1200.0,2.0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
25.0,1859.0,1030.0,2.0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,4
28.0,1864.0,1200.0,2.0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,0,3
29.0,1866.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
32.0,1870.0,1000.0,2.0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,5
24.0,1876.0,1200.0,4.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,5
12.0,1883.0,1150.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
3.0,1884.0,1000.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
8.0,1887.0,1161.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
41.0,1888.0,4558.0,2.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,3
27.0,1890.0,1000.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3
18.0,1891.0,1350.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
27.0,1892.0,1092.0,1.0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,5
9.0,1895.0,2367.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,3
7.0,1896.0,1040.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
37.0,1897.0,4000.0,2.0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0,0,3
15.0,1898.0,2000.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
33.0,1900.0,1200.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3
38.0,1900.0,2000.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3
34.0,1902.0,1850.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1
16.0,1903.0,1300.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
35.0,1903.0,3000.0,2.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,3
6.0,1903.0,1417.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,3
4.0,1904.0,1200.0,2.0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,3
28.0,1904.0,965.0,4.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,3
36.0,1909.0,1730.0,2.0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,3
49.0,1910.0,1620.0,2.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1
43.0,1911.0,1652.0,2.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
41.0,1915.0,2822.0,2.0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,3
24.0,1915.0,1000.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,3
37.0,1918.0,2300.0,2.0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,2
31.0,1920.0,2122.0,2.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,3
29.0,1923.0,885.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
32.0,1924.0,2365.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0
27.0,1926.0,860.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,4
26.0,1926.0,884.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,4
46.0,1927.0,1770.0,2.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1
5.0,1927.0,2663.0,4.0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,1
1.0,1927.0,1330.0,4.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
30.0,1928.0,2678.0,4.0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0
20.0,1928.0,2220.0,2.0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1
25.0,1928.0,860.0,4.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,4
17.0,1928.0,2250.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,3
40.0,1931.0,1365.0,4.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
42.0,1931.0,1450.0,4.0,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0
6.0,1931.0,1500.0,4.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,4
11.0,1937.0,1690.0,4.0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2
34.0,1939.0,1800.0,4.0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1
39.5,1945.0,1060.0,4.0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
39.7,1945.0,840.0,2.0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,3
38.5,1945.0,1710.0,2.0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,2
48.0,1945.0,2160.0,2.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
23.0,1950.0,1320.0,2.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,3
22.0,1951.0,900.0,4.0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,2
14.0,1951.0,2423.0,4.0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2
19.0,1951.0,1031.0,4.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,1
37.0,1955.0,2300.0,4.0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,2
47.0,1959.0,1700.0,2.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,2
1.0,1959.0,1000.0,6.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
33.0,1961.0,980.0,4.0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,2
9.0,1962.0,2213.0,4.0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,2
24.0,1969.0,870.0,6.0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0
44.0,1975.0,3756.0,6.0,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
7.0,1978.0,950.0,6.0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0
